Number,Company,Job,Diet,Travel,Languages,Country
1,glueckkanja AG,Azure Cloud Architect,Vegetarian,,"English, German",Germany
2,Abraxas Systemberatung GmbH,Consultant,None,,,Germany
3,GDA mbH,System Engineer,None,,,Germany
4,ABCD Online Ltd,Technology Consultant,None,,,United Kingdom
5,Advitum AB,IT Consultant,None,,,Sweden
6,Capeletti & Perl,M365 Solution Expert,None,,"German, English",Germany
7,Unit IT A/S,Operations Consultant,None,,,Denmark
8,Unit IT A/S,Operations Consultant,None,,,Denmark
9,Mobil ISC GmbH,IT-Security Specialist,Vegan,,"English, German",Germany
10,HJE Consult,Consultant,None,,,Denmark
11,KPMG IT Service GmbH,Manager,None,,"English, German",Germany
12,,DevOops Engineer,,,English,United Kingdom
13,Advitum,Senior IT Consultant,None,,"Swedish, English",Sweden
14,Mindcore,Consultant,None,,"English, Dutch",Denmark
15,Omnicit AB,Solutions Architect,None,,"English, Swedish",Sweden
16,AtkinsRealis,Senior Identity and Access Management Engineer,None,,English,United Kingdom
17,Novo Nordisk A/S,IT Architect,None,,,Denmark
18,Novo Nordisk A/S,Advanced IT operations analyst,None,,"Danish, English",Denmark
19,Betken IT-Solutions,Senior IT-Consultant ,None,,,Germany
20,Aramco Europe,IT Guy,"None, Vegan",,,Netherlands
21,Debeka Krankenversicherungsverein a. G.,IT-System-Engineer,None,,"English, German",Germany
22,Debeka Krankenversicherungsverein a. G.,IT Systemadministrator,None,,,Germany
23,Ireckonu,Senior Cloud Services Engineer,None,,"English, French, Romanian, Russian",Netherlands
24,glueckkanja AG,Cloud Engineer,,,,Germany
25,Atea,Senior Consultant,None,,"English, French, Swedish",Sweden
26,J.M. Voith SE & Co. KG,Admin,Vegan,,"English, German",Germany
27,NIL d.o.o.,Consulting engineer,None,,,Slovenia
28,NIL d.o.o.,Consulting engineer,None,,English,Slovenia
29,WWK LebensVersicherung a.G.,IT-Systems Engineer,None,,,Germany
30,WWK Lebensversicherung a.G.,IT-Systems Engineer,None,,,Germany
31,WWK LebensVersicherung a.G.,IT-Systems Engineer,None,,"English, German",Germany
32,WWK Lebensversicherung a.G.,IT-Systems Engineer,None,,"German, English",Germany
33,New Work SE,Senior System Engineer,"Vegan, Vegetarian",,,Germany
34,New Work SE,Senior System Engineer,None,,"English, Spanish",Spain
35,New Work SE,System Engineer,None,,,Spain
36,VGR Koncernstab digitalisering,Technical specialist,None,,"Swedish, English",Sweden
37,VGR Koncernstab digitalisering,Technical specialist,,,,Sweden
38,VGR Koncernstab digitalisering,IT architect,None,,,Sweden
39,VGR Koncernstab digitalisering,Technical specialist,,,,Sweden
40,VGR Koncernstab digitalisering,Technical specialist,None,,,Sweden
41,VGR Koncernstab digitalisering,IT technician,None,,"English, Swedish",Sweden
42,VGR Koncernstab digitalisering,Technical specialist,None,,"Swedish, English",Sweden
43,VGR Koncernstab digitalisering,Technical specialist,None,,,Sweden
44,VGR Koncernstab digitalisering,Technical specialist,,,,
45,VGR Koncernstab digitalisering,Technical specialist,None,,"Swedish, English",Sweden
46,VGR Koncernstab digitalisering,Devops engineer,Halal,,"Swedish, English, Urdu",Sweden
47,ING-DiBa AG ,System Engineer,Vegetarian,,"English, German",Germany
48,ING-DiBa AG,Systems Engineer,None,,"German, English",Germany
